^:<name=gwgz footnote=ck preload=true>	note
1.初	當初。這是古書上追述往事時常用的說法。
1.鄭武公	前770年至前744年在位。文中的“公”指鄭莊公。鄭，國名，姬姓，在今河南新鄭一帶。
1.娶于申	從申國娶妻。申，國名，姜姓，在今河南南陽一帶。
1.武姜	“武”是丈夫的謚號，“姜”是母家的姓氏。這是當時貴族的一種習慣稱呼。
1.莊公	前743年至前701年在位。
1.共叔段	莊公的弟弟，名段。共，國名，在河南輝縣。莊公弟后來曾逃亡到這里，故稱共叔。
1.寤生	逆生，難產。
1.亟	屢次。
1.請制	要制這個地方作領地。制，鄭地名，一名虎牢，在今河南汜水西，原為東虢（guó）國屬地，前767年東虢為鄭所滅。虢國，故地原在今陜西寶雞東，史稱西虢；周室東遷后，虢國遷到今河南陜縣東南，史稱東虢。
1.巖邑	險要的城邑。
1.虢叔	東虢國國君。
1.京	鄭地名，在今河南滎陽東南。
1.祭仲	鄭大夫，字足。
1.都	這里泛指一般城邑。
1.城	這里指城墻。
1.雉	古代計算城墻長度的單位，長三丈，高一丈，為一雉。
1.國	指國家。
1.參國之一	國都的三分之一。此處的國是指國都。
1.度	法度、規定。
1.辟	通“避”。
1.鄙	邊邑。
1.貳于己	一方面屬莊公，一方面屬自己。貳，兩屬，屬二主。
1.公子呂	即下文的子封，鄭大夫。
1.庸	用。
1.廩延	鄭地名，在今河南延津北。
1.厚	雄厚，這里指擴大土地。
1.昵	指親近兄長。
1.完聚	修葺、積聚，這里指修治城郭、集結兵力。
1.繕	修理、整治。
1.甲	指鎧甲一類的戎裝。
1.兵	兵器。
1.具	準備。
1.乘	車乘，指戰車。
1.啟之	指開城門，作內應。
1.帥	通“率”。
1.二百乘	春秋時戰車，一乘有甲士三人，步卒七十二人。二百乘有甲士六百人，步卒一萬四千多人。
1.鄢	鄭地名，在今河南鄢陵北。
1.五月辛丑	魯隱公元年（前722年）五月二十三日。古代以天干、地支配合紀日，如甲子、辛丑等。
1.書	指《春秋》上的記述。以下是解釋《春秋》經文的話，所謂“書法”。
1.鄭伯	指鄭莊公。春秋時有五等爵，公、侯、伯、子、男。鄭國君屬伯爵，故稱鄭伯。
1.克	戰勝。
1.弟	通“悌”（tì）。舊時指順從兄長。
1.鄭志	指鄭伯有殺弟的意圖。志，意圖。
1.難	責難。
1.置	安置，這里有放逐的意思。
1.城潁	鄭地名，在今河南臨潁西北。
1.潁考叔	鄭大夫。
1.潁谷	鄭國邊邑名，在今河南登封西。
1.封人	掌管疆界的官。
1.羹	有肉有湯的食物，這里泛指肉食。
1.遺	贈給，這里是留給的意思。
1.繄	句首語氣詞。
1.闕	通“掘”，挖掘。
1.隧	動詞，挖成隧道。
1.賦	賦詩，這里指誦讀詩句。
1.泄泄	與“融融”意義相近，都是快樂的意思。
1.君子	這是作者直接表示意見時所假托的評論者。
1.純	純正。
1.施	擴展。
1.匱	虧缺。
1.錫	賜予。這兩句見于《詩經·大雅·既醉》。
2.卿士	執政大臣。鄭武公、莊公父子相繼以諸侯身份兼掌周王室實權。
2.王貳于虢	周平王擔心鄭莊公權力太大，想分一部分權力給虢公。貳，兩屬。虢，這里指西虢公。
2.質	指人質。古代派往別國去作抵押品的人，多由王子或世子充當。
2.畀	給與。
2.祭足	即祭仲，鄭大夫。
2.溫	周地名，在今河南溫縣西南。
2.成周	周地名，在今河南洛陽市東北。
2.君子	《左傳》作者直接表示意見時所假托的評論者。
2.中	內心。
2.恕	恕道，過去儒家提倡的倫理道德。
2.要	約束。
2.毛	草。
2.蘋、蘩、蕰、藻	四種野菜。蘋，浮萍。蘩，白蒿。蕰，一種可做菜的水草。藻，藻類植物。
2.筐、筥、锜、釜	四種器物。筐、筥，竹器。方的稱筐，圓的稱筥。锜、釜，兩種釜類容器。有足的稱锜，沒有足的稱釜。
2.潢污	停積不流動的水。
2.行潦	流動的水。
2.風	指《詩經·國風》。
2.采蘩	《國風·召南》篇名。
2.采蘋	《國風·召南》篇名，描寫婦女采集野菜，用筐、筥提回，用锜、釜烹煮，舉行祭祀等情況。
2.雅	這里指《詩經·大雅》。
2.行葦	《泂（jǒng）酌》：《大雅·生民之什》中的兩篇，描寫宴享祭祀的情況。
3.衛莊公	前757年至前735年在位。衛，國名，姬姓，在今河南淇縣一帶。
3.齊	國名，姜姓，在今山東北部、中部。
3.東宮	太子宮，這里代指太子。
3.得臣	齊太子名，早死，沒有繼承君位。
3.賦	動詞，賦詩。不歌而誦，稱賦。
3.《碩人》	《詩經·衛風》篇名。古代相傳，認為是贊美莊姜的詩。
3.陳	國名，媯（guī）姓，在今河南東部和安徽西部。
3.蚤	通“早”。
3.娣	這里指妹妹。
3.戴媯	“戴”和上文“厲媯”的“厲”，都是謚號。
3.嬖人	舊時指受寵愛的婢妾。
3.石碏	衛大夫。
3.階	階梯。這里是逐漸的意思。
3.眕	安重，忍耐而不輕舉妄動。
4.春	指魯隱公五年（前718年）春季。
4.公	指魯隱公，前722年至前712年在位。
4.棠	也寫作唐，邑名，在今山東魚臺縣東北。
4.魚	通“漁”，動詞，捕魚。
4.臧僖伯	魯國公子姬彄（kōu），封于臧，僖是謚號。
4.物	物品，這里指下文所說的鳥獸一類的東西。
4.講	講習。
4.大事	指祭祀和軍事。
4.材	材料。這里指下文的皮革齒牙、骨角毛羽一類東西。
4.器用	和下文的“器”都是指軍用物資。
4.納	納入。
4.軌物	法度與禮制。
4.度	動詞，衡量。
4.亟	屢次。
