^:<name=gwgz footnote=ck nocheck=true>	note
1.1	隱公元年 左傳
1.2	Main|鄭伯克段于鄢
1.3	初者，敍其始也。鄭，姬姓國。武公，名掘突。申，姜姓國。武姜者，姓姜而謚武也。
1.4	恭。
1.5	共，國名。段奔共國，故名共叔。
1.6	寤，猶蘇也。寤生，言生之難，絕而復蘇也。
1.7	命名奇。
1.8	烏故切。
1.9	一遂字，寫盡婦人任性情況。
1.10	器。
1.11	惡莊公而因愛段，欲立爲太子。亟請者，不一請也。莊公蓄怨，非一日矣。 ○以上敘武姜愛惡之偏，以基骨肉相殘之禍。
1.12	去聲。
1.13	制邑最險，姜請封段。
1.14	言制乃嚴險之邑，昔虢叔居此，恃險滅亡，他邑則唯命是聽。 ○莊公似爲愛段之言，實恐段居制邑，太險難除。他邑雖極大，諒不若制邑之險，適可以養其驕而滅除之。他邑唯命，四字毒甚。
1.15	京邑最大，姜請封段。
1.16	泰。
1.17	邑大可以養驕，而不除亦必易制，故使居之。大叔者，張大其名，所以張大其心也。 ○莊公處心積慮，主於殺弟。封邑之始，已早計之矣。
1.18	債。
1.19	鄭大夫。
1.20	邑有先君之廟曰都。城方丈曰堵。三堵曰雉。雉，長三丈，高一丈。言都城不可過三百丈也。
1.21	同三。
1.22	侯伯之國，其城長三百雉。大都，三分其國之一，不過百雉也。
1.23	省都字。
1.24	省國字。
1.25	中都，五分其國之一，不過六十雉也。
1.26	小都，九分其國之一，不過三十三雉也。
1.27	京城過於百雉，不合法度，非先王之制。
1.28	叔段據有大邑，將爲鄭害，莊公必不堪也。 ○祭仲一夢中人。
1.29	煙。
1.30	同避。
1.31	直稱母姜氏而故作無可奈何語，毒聲。
1.32	平聲。
1.33	厭，足也。
1.34	或裁抑，或變置。
1.35	萬， ○滋蔓，滋長而蔓延。
1.36	先出蔓字，後出草字，頓挫。
1.37	言向後卽欲爲之所而不能。 ○夢中。
1.38	備。
1.39	斃，敗也。滋蔓自多行不義，則必自敗。待之云者，唯恐其不行不義，而欲待其行也。莊公之心愈毒矣，而祭仲終未之知也。
1.40	鄙，邊邑。貳，兩屬也。段命西、北二邊之邑，兩屬於己，果行不義也。
1.41	鄭大夫，字子封。
1.42	國不堪使人有攜貳，兩屬之心，君將何以處段。
1.43	先拗一筆。
1.44	無使鄭國之民，生他心也。 ○子封又一夢中人。
1.45	言無用除之，將自及於禍。 ○莊公實欲殺弟，而曰自斃，曰自及，故爲段自作自受之語，毒甚。
1.46	廩延，鄭邑。前兩屬者，今皆取以爲己邑，直至廩延，所侵愈多也。
1.47	可正段罪。
1.48	厚，地廣也。前猶貳己，故云生心。今直收貳，故云得衆。 ○夢中。
1.49	銀入聲。
1.50	暱，親近也。不義於君，不親於兄，非衆所附，雖厚必崩。崩者，勢如土崩，民逃身竄，直至滅亡。較「自斃」、「自及」更加慘毒矣，而子封終未之知也。
1.51	完城郭，聚人民。
1.52	繕，治也。
1.53	去聲。 ○步曰卒，車曰乘。
1.54	掩其不備曰襲。 ○段至此不義甚矣，然莊公平日處段，能小懲而大戒之，段必不至此。段之將襲鄭，莊公養之也。
1.55	武姜。
1.56	啓，開也，言欲爲內應。 ○婦人姑息之愛，不曉大義，故欲啓段。使莊公平日在母前能開陳大義，動之以至情，惕之以利害，夫人必不至此。夫人之啓段，莊公陷之也。
1.57	聞其襲鄭之期也。 ○祭仲不聞，子封不聞，何獨公聞。蓋公含毒已久，刻刻留心，時時偵探，故獨聞之也。
1.58	三字寫莊公得計聲口，與上可矣句緊照，言這遭纔好伐了。鄭莊公蓄怨一生，到此盡然發露，不覺一句說出來。
1.59	率。
1.60	煙， ○鄢，鄭邑名。
1.61	旣命子封伐諸京，公又自伐諸鄢。兩路夾攻，期在必殺。
1.62	敍段事止此。
1.63	經文，下釋經也。
1.64	莊公養成弟惡，故曰失教。鄭志者，鄭伯之志，在于殺弟也。 ○「鄭志」二字，是一篇斷案。
1.65	段實出奔，而以「克」爲文，明鄭伯志在殺段，難言其奔也。 ○釋經止此。下遙接前文再敍。
1.66	同置。
1.67	寘，棄也。城潁，鄭地。
1.68	黃泉，地中之泉也。立誓永不見母，將前日惡己愛段之忿一總發洩，忍哉！
1.69	悔誓之過，是天性萌動。 ○無相見也，以上純是殺機。潁考叔以下，純是太和元氣。旣而悔之一句，是轉殺機爲太和的緊關。
1.70	鄭大夫。
1.71	時爲潁谷典封疆之官。
1.72	聞其悔也。
1.73	或獻謀，或獻物。
1.74	捨。
1.75	食而舍肉，挑其問也。
1.76	公問何故舍肉不食。
1.77	只四字，妙甚，直刺入心。
1.78	去聲。
1.79	善于誘君，使之自然心動情發。
1.80	衣。
1.81	繄，語助也。 ○哀哀之音，宛然孺子失乳而啼，非復前日含毒惡聲。
1.82	佯爲不知，妙。
1.83	去聲。
1.84	公語以誓母之故。
1.85	且告以追悔無及之意。
1.86	黃泉之誓，何足患焉。
1.87	掘。
1.88	隧，地道也。掘地使及黃泉，爲地道以見母，便是相見于黃泉，誰以此說爲背誓也。 ○天大難事，輕輕便解。
1.89	洛。
1.90	賦，賦詩也。大隧二句，公所賦詩辭。融融，和樂也。則知其前之陰毒矣。
1.91	異， ○大隧二句，姜所賦詩辭。洩洩，舒散也。則知其前之隱忍矣。 ○從前一路刻毒慘傷之心，俱于融融洩洩四字中消盡，摹寫生色。
1.92	敍姜氏止此。 ○初字起，初字結。
1.93	左氏設君子之言，以爲論斷也。
1.94	去聲。
1.95	拈愛字妙。親之偏愛，足以召禍。子之真愛，可以回天。
1.96	《詩·大雅·旣醉篇》，言孝子之心無窮，又能以己孝感君之孝，而錫及其疇類也，其潁考叔純孝之謂乎。 ○引詩詠歎作結，意致冷然。
2.1	隱公三年 左傳
2.2	Main|周鄭交質
2.3	父子俱秉周政。
2.4	王病鄭之專，欲分政于虢公。
2.5	莊公。
2.6	貳與怨，俱根心上來，伏下信不由中。
2.7	只用無之二字支吾，全是小兒畏撲光景。
2.8	至， ○質，物相質當也。君權替，臣紀廢，自此極矣。
2.9	平王子名狐，鄭公子名忽。 ○先言王出質，而後言鄭出質者，明鄭伯偪王立質畢，而後聊以公子塞責，是惡平王先與人質也。
2.10	畀，與也。將者，未決之辭。卻爲鄭莊窺破。故王以三月崩，而祭仲以四月寇，言其疾也。
2.11	債。
2.12	卽祭仲。
2.13	率。
2.14	溫，周邑名。成周，今洛陽縣。 ○書溫，又書成周者，四月猶溫，秋則徑入成周。寫鄭莊之惡，不唯無君，直是異樣慘毒。
2.15	如字， ○敍事止此。下皆左氏斷辭。
2.16	一句喝倒交質之非。
2.17	平聲。
2.18	去聲。
2.19	明則不欺，恕則不忌，所謂由中之信也。言本明恕而行，又以禮文，彼此要結，雖不以子交質，誰能離間之也。
2.20	推開一步說。
2.21	山夾水曰澗。水注川曰溪。方池曰沼。小渚曰沚。毛，草也。卽下文所謂菜也。
2.22	蘋，大萍也。蘩，白蒿也。蘊藻，聚藻也。皆生于澗、溪、沼、沚，可以爲菜者。
2.23	舉。
2.24	奇。
2.25	方曰筐，圓曰筥，皆竹器。有足曰錡，無足曰釜，皆鼎屬。
2.26	黃。
2.27	潢汙，停水也。行潦，流水也。
2.28	薦，祭也。羞，進也。 ○以上七句，言至薄之物，猶可藉明信以爲祭祀燕享。
2.29	煙。
2.30	此通言凡結信者，不得用質，非專指周、鄭也。 ○上言要之以禮，此又言行之以禮，全是惡周鄭交質之非禮也。
2.31	迥。
2.32	《采蘩》、《采蘋》《國風》二篇名。義取于不嫌薄物。《行葦》、《泂酌》、《大雅》二篇名。《行葦》篇，義明忠厚。《泂酌》篇，義取雖行潦可以供祭。
